ID Soal,Driver,Sub Composite,Jenis,Pertanyaan
1,Security,Stability,Normal,Saya biasanya menyusun jadwal harian meski tidak ada yang mengharuskan saya melakukannya.
2,Security,Stability,Reverse,Saya lebih nyaman menjalani hari tanpa jadwal yang ditentukan sebelumnya.
3,Security,Certainty,Normal,Saya biasanya mencari beberapa opsi cadangan sebelum memutuskan sesuatu yang penting.
4,Security,Certainty,Reverse,"Saya sering mengambil keputusan penting hanya dengan informasi seadanya, tanpa banyak pertimbangan tambahan."
5,Security,Trustworthiness,Normal,"Kalau saya bilang akan mengerjakan sesuatu pada waktu tertentu, saya berusaha keras memenuhinya walau situasi berubah."
6,Security,Trustworthiness,Reverse,Saya cukup sering menunda hal yang sudah saya janjikan kalau muncul hal lain yang lebih mendesak.
7,Security,Authenticity,Normal,Saya tetap menyampaikan pendapat saya walau tahu itu berbeda dari kebanyakan orang di ruangan itu.
8,Security,Authenticity,Reverse,Saya cenderung menyesuaikan sikap saya supaya lebih mudah diterima oleh orang-orang di sekitar saya.
9,Security,Resilience,Normal,"Setelah mengalami kegagalan, saya butuh waktu singkat untuk kembali fokus ke aktivitas berikutnya."
10,Security,Resilience,Reverse,Saya butuh waktu cukup lama untuk kembali bersemangat setelah menghadapi sesuatu yang mengecewakan.
11,Significance,Recognition,Normal,Saya tetap mengerjakan sesuatu dengan sebaik mungkin walau tidak ada yang akan menyadarinya.
12,Significance,Recognition,Reverse,Saya cenderung mengurangi usaha saya kalau tahu hasilnya tidak akan diperhatikan orang lain.
13,Significance,Achievement,Normal,Saya biasanya punya target konkret yang saya kejar dalam beberapa bulan ke depan.
14,Significance,Achievement,Reverse,"Saya jarang menetapkan target khusus, saya lebih mengikuti apa yang terjadi hari demi hari."
15,Significance,Self-Worth,Normal,"Kalaupun hasil kerja saya tidak sesuai harapan, saya tidak lantas meragukan nilai diri saya secara keseluruhan."
16,Significance,Self-Worth,Reverse,Penilaian saya terhadap diri sendiri cukup dipengaruhi oleh berhasil atau tidaknya sesuatu yang saya kerjakan.
17,Significance,Competence,Normal,Saya cukup rutin meluangkan waktu untuk mempelajari hal yang berhubungan dengan bidang saya.
18,Significance,Competence,Reverse,Saya jarang meluangkan waktu khusus untuk meningkatkan kemampuan di luar apa yang benar-benar dibutuhkan saat itu.
19,Significance,Confidence,Normal,Saya cenderung tetap mencoba sesuatu yang baru meski belum yakin akan berhasil.
20,Significance,Confidence,Reverse,Saya lebih memilih menghindari sesuatu kalau saya tidak cukup yakin bisa melakukannya dengan baik.
21,Connection,Belonging,Normal,Saya merasa lebih bersemangat menjalani sesuatu kalau saya melakukannya bersama kelompok atau komunitas tertentu.
22,Connection,Belonging,Reverse,Saya cenderung lebih nyaman mengerjakan sesuatu sendirian daripada menjadi bagian dari kelompok tertentu.
23,Connection,Trust,Normal,Saya biasanya memberi kesempatan pada orang baru untuk membuktikan diri sebelum saya menilai mereka.
24,Connection,Trust,Reverse,Saya cenderung berhati-hati dan menjaga jarak sampai benar-benar yakin terhadap seseorang.
25,Connection,Empathy,Normal,"Ketika seseorang bercerita tentang masalahnya, saya biasanya lebih dulu memperhatikan perasaannya sebelum menanggapi dengan solusi."
26,Connection,Empathy,Reverse,"Saya cenderung langsung fokus mencari solusi ketika mendengar masalah orang lain, tanpa banyak membahas perasaannya."
27,Connection,Intimacy,Normal,Saya punya beberapa orang yang saya ajak berbicara tentang hal-hal yang cukup pribadi.
28,Connection,Intimacy,Reverse,"Saya jarang membicarakan hal-hal pribadi, bahkan dengan orang-orang yang cukup dekat dengan saya."
29,Connection,Acceptance,Normal,Saya cukup mudah menerima cara pandang orang lain meskipun berbeda jauh dari cara saya berpikir.
30,Connection,Acceptance,Reverse,Saya cenderung sulit menerima pandangan yang terlalu berbeda dari cara saya melihat sesuatu.
31,Growth,Curiosity,Normal,"Saya sering mencari tahu lebih jauh tentang topik yang baru saya dengar, meski tidak berhubungan langsung dengan pekerjaan saya."
32,Growth,Curiosity,Reverse,Saya biasanya cukup puas dengan apa yang sudah saya ketahui dan jarang mencari informasi tambahan di luar itu.
33,Growth,Learning,Normal,"Saya biasanya mencari cara sendiri untuk mempelajari sesuatu, tanpa menunggu diarahkan orang lain."
34,Growth,Learning,Reverse,Saya biasanya menunggu ada kebutuhan mendesak baru mulai mempelajari hal baru.
35,Growth,Adaptability,Normal,"Ketika rencana yang sudah disusun berubah mendadak, saya biasanya cukup cepat menyusun ulang langkah berikutnya."
36,Growth,Adaptability,Reverse,Saya butuh waktu cukup lama untuk menyesuaikan diri ketika rencana yang sudah disusun tiba-tiba berubah.
37,Growth,Mastery,Normal,"Saya cenderung mengulang sesuatu sampai hasilnya benar-benar sesuai standar saya sendiri, bukan sekadar cukup."
38,Growth,Mastery,Reverse,"Saya cukup puas begitu suatu pekerjaan selesai, tanpa terlalu memikirkan apakah masih bisa ditingkatkan."
39,Growth,Self-Expansion,Normal,"Saya cukup sering mencoba hal yang berada di luar kebiasaan saya, meski awalnya terasa canggung."
